Agent Name,Filename,Primary Function,Subsystem,Status,Dependencies
Streaming Audio Capture,streaming_audio_capture.py,Captures raw audio from microphone and publishes to ZMQ,Audio Pipeline,Active,None
Noise Reduction Agent,noise_reduction_agent.py,Cleans audio stream by removing background noise,Audio Pipeline,Active,streaming_audio_capture.py
VAD Agent,vad_agent.py,Detects speech activity in audio stream,Audio Pipeline,Active,noise_reduction_agent.py
Wake Word Detector,wake_word_detector.py,Triggers system on wake word detection,Audio Pipeline,Active,streaming_audio_capture.py
Streaming Speech Recognition,streaming_speech_recognition.py,Converts speech to text using Whisper,Audio Pipeline,Active,noise_reduction_agent.py
Language and Translation Coordinator,language_and_translation_coordinator.py,Processes and routes text including translation,Text Pipeline,Active,streaming_speech_recognition.py
Coordinator Agent,coordinator_agent.py,Classifies and routes user requests,Text Pipeline,Active,language_and_translation_coordinator.py
Chitchat Agent,chitchat_agent.py,Handles casual conversation,Text Pipeline,Active,coordinator_agent.py
Session Memory Agent,session_memory_agent.py,Maintains short-term conversation context,Memory System,Active,coordinator_agent.py
TTS Connector,tts_connector.py,Manages text-to-speech request queue,TTS System,Active,language_and_translation_coordinator.py
Model Manager Agent,model_manager_agent.py,Manages local AI models and PC2 communication,Model Management,Active,None
Progressive Generator,progressive_generator.py,Generates code using chain-of-thought approach,Code Generation,Active,model_manager_agent.py
Auto Fixer,auto_fixer.py,Automatically fixes code issues,Code Generation,Active,progressive_generator.py
Executor,executor.py,Executes generated code,Code Generation,Active,auto_fixer.py
Test Generator,test_generator.py,Generates tests for code,Code Generation,Active,executor.py
Streaming Text Processor,streaming_text_processor.py,Processes text for code generation,Text Pipeline,Active,coordinator_agent.py
Emotion Engine,emotion_engine.py,Analyzes and manages emotional state,Intelligence,Active,None
Personality Engine,personality_engine.py,Provides consistent personality,Intelligence,Active,emotion_engine.py
Mood Tracker Agent,mood_tracker_agent.py,Tracks user mood over time,Intelligence,Active,emotion_engine.py
Meta Cognition Agent,MetaCognitionAgent.py,Enables system self-awareness,System Management,Active,None
VRAM Manager,vram_manager.py,Manages GPU memory allocation,System Management,Active,None
Monitoring Dashboard,monitoring_dashboard.py,Provides system monitoring UI,System Management,Active,None
Advanced Tutoring Agent,advanced_tutoring_agent.py,Provides educational content,Education,Active,None
Knowledge Base,knowledge_base.py,Stores and retrieves factual information,Memory System,Active,memory_manager.py
Learning Manager,learning_manager.py,Manages continuous learning,Intelligence,Active,knowledge_base.py
Multi-Agent Swarm Manager,MultiAgentSwarmManager.py,Orchestrates multiple agents for complex tasks,Intelligence,Active,None
Agent Breeder,AgentBreeder.py,Creates specialized agents dynamically,Intelligence,Active,multi_agent_swarm_manager.py
Autogen Framework,autogen_framework.py,Framework for autonomous agents,Intelligence,Active,multi_agent_swarm_manager.py
Advanced Timeout Manager,advanced_timeout_manager.py,Manages timeouts for long-running tasks,System Management,Active,None
Performance Metrics Collector,performance_metrics_collector.py,Collects system performance metrics,System Management,Active,None
Debug Voice Pipeline,debug_voice_pipeline.py,Tools for debugging audio pipeline,System Management,Active,None
Noise Profile Builder,noise_profile_builder.py,Builds noise profiles for reduction,Audio Pipeline,Active,noise_reduction_agent.py
Empathy Agent,EmpathyAgent.py,Provides empathetic responses,Intelligence,Active,emotion_engine.py
Unified System Agent,unified_system_agent.py,Provides unified system interface,System Management,Active,None
Face Recognition Agent,face_recognition_agent.py,Identifies users via camera,Perception,Active,None
Error Handler,error_handler.py,Centralized error handling,System Management,Active,None
Speech Processor,speech_processor.py,Low-level speech processing,Audio Pipeline,Active,None
Voice Controller,voice_controller.py,Controls voice characteristics,TTS System,Active,tts_connector.py
Unified Memory Reasoning Agent,unified_memory_reasoning_agent.py,Reasoning over memory content,Memory System,Active,None
Tutoring Service Agent,tutoring_service_agent.py,Provides ZMQ interface for tutoring,Education,Active,None
