host,group,agent,category,required,port,health_check_port
MainPC,foundation_services,ServiceRegistry,active,True,${PORT_OFFSET}+7200,${PORT_OFFSET}+8200
MainPC,foundation_services,SystemDigitalTwin,active,True,${PORT_OFFSET}+7220,${PORT_OFFSET}+8220
MainPC,foundation_services,UnifiedSystemAgent,active,True,${PORT_OFFSET}+7201,${PORT_OFFSET}+8201
MainPC,foundation_services,SelfHealingSupervisor,active,True,${PORT_OFFSET}+7009,${PORT_OFFSET}+9008
MainPC,foundation_services,MemoryFusionHub,hub,True,${PORT_OFFSET}+5713,${PORT_OFFSET}+6713
MainPC,foundation_services,ModelOpsCoordinator,hub,True,${PORT_OFFSET}+7212,${PORT_OFFSET}+8212
MainPC,foundation_services,AffectiveProcessingCenter,hub,True,${PORT_OFFSET}+5560,${PORT_OFFSET}+6560
MainPC,foundation_services,RealTimeAudioPipeline,hub,True,${PORT_OFFSET}+5557,${PORT_OFFSET}+6557
MainPC,foundation_services,UnifiedObservabilityCenter,hub,True,${PORT_OFFSET}+9100,${PORT_OFFSET}+9110
MainPC,utility_services,CodeGenerator,active,True,${PORT_OFFSET}+5650,${PORT_OFFSET}+6650
MainPC,utility_services,PredictiveHealthMonitor,potentially_consolidated,True,${PORT_OFFSET}+5613,${PORT_OFFSET}+6613
MainPC,utility_services,Executor,active,True,${PORT_OFFSET}+5606,${PORT_OFFSET}+6606
MainPC,utility_services,TinyLlamaServiceEnhanced,potentially_consolidated,False,${PORT_OFFSET}+5615,${PORT_OFFSET}+6615
MainPC,utility_services,SmartHomeAgent,active,False,${PORT_OFFSET}+7125,${PORT_OFFSET}+8125
MainPC,gpu_infrastructure,CrossMachineGPUScheduler,active,True,${PORT_OFFSET}+7155,${PORT_OFFSET}+8155
MainPC,reasoning_services,ChainOfThoughtAgent,potentially_consolidated,True,${PORT_OFFSET}+5612,${PORT_OFFSET}+6612
MainPC,reasoning_services,GoTToTAgent,active,False,${PORT_OFFSET}+5646,${PORT_OFFSET}+6646
MainPC,reasoning_services,CognitiveModelAgent,potentially_consolidated,False,${PORT_OFFSET}+5641,${PORT_OFFSET}+6641
MainPC,vision_processing,FaceRecognitionAgent,active,True,${PORT_OFFSET}+5610,${PORT_OFFSET}+6610
MainPC,learning_knowledge,LearningOpportunityDetector,potentially_consolidated,True,${PORT_OFFSET}+7202,${PORT_OFFSET}+8202
MainPC,learning_knowledge,LearningManager,potentially_consolidated,True,${PORT_OFFSET}+5580,${PORT_OFFSET}+6580
MainPC,learning_knowledge,ActiveLearningMonitor,potentially_consolidated,True,${PORT_OFFSET}+5638,${PORT_OFFSET}+6638
MainPC,language_processing,IntentionValidatorAgent,active,True,${PORT_OFFSET}+5701,${PORT_OFFSET}+6701
MainPC,language_processing,NLUAgent,active,True,${PORT_OFFSET}+5709,${PORT_OFFSET}+6709
MainPC,language_processing,AdvancedCommandHandler,active,True,${PORT_OFFSET}+5710,${PORT_OFFSET}+6710
MainPC,language_processing,ChitchatAgent,active,True,${PORT_OFFSET}+5711,${PORT_OFFSET}+6711
MainPC,language_processing,FeedbackHandler,active,True,${PORT_OFFSET}+5636,${PORT_OFFSET}+6636
MainPC,language_processing,Responder,potentially_consolidated,True,${PORT_OFFSET}+5637,${PORT_OFFSET}+6637
MainPC,language_processing,DynamicIdentityAgent,potentially_consolidated,True,${PORT_OFFSET}+5802,${PORT_OFFSET}+6802
MainPC,language_processing,EmotionSynthesisAgent,potentially_consolidated,True,${PORT_OFFSET}+5706,${PORT_OFFSET}+6706
MainPC,speech_services,STTService,potentially_consolidated,True,${PORT_OFFSET}+5800,${PORT_OFFSET}+6800
MainPC,speech_services,TTSService,potentially_consolidated,True,${PORT_OFFSET}+5801,${PORT_OFFSET}+6801
MainPC,audio_interface,AudioCapture,potentially_consolidated,False,${PORT_OFFSET}+6550,${PORT_OFFSET}+7550
MainPC,audio_interface,FusedAudioPreprocessor,active,False,${PORT_OFFSET}+6551,${PORT_OFFSET}+7551
MainPC,audio_interface,StreamingInterruptHandler,potentially_consolidated,False,${PORT_OFFSET}+5576,${PORT_OFFSET}+6576
MainPC,audio_interface,StreamingSpeechRecognition,potentially_consolidated,False,${PORT_OFFSET}+6553,${PORT_OFFSET}+7553
MainPC,audio_interface,StreamingTTSAgent,potentially_consolidated,True,${PORT_OFFSET}+5562,${PORT_OFFSET}+6562
MainPC,audio_interface,WakeWordDetector,active,False,${PORT_OFFSET}+6552,${PORT_OFFSET}+7552
MainPC,audio_interface,StreamingLanguageAnalyzer,potentially_consolidated,False,${PORT_OFFSET}+5579,${PORT_OFFSET}+6579
MainPC,audio_interface,ProactiveAgent,active,True,${PORT_OFFSET}+5624,${PORT_OFFSET}+6624
MainPC,emotion_system,EmotionEngine,potentially_consolidated,True,${PORT_OFFSET}+5590,${PORT_OFFSET}+6590
MainPC,emotion_system,MoodTrackerAgent,potentially_consolidated,True,${PORT_OFFSET}+5704,${PORT_OFFSET}+6704
MainPC,emotion_system,HumanAwarenessAgent,active,True,${PORT_OFFSET}+5705,${PORT_OFFSET}+6705
MainPC,emotion_system,ToneDetector,potentially_consolidated,True,${PORT_OFFSET}+5625,${PORT_OFFSET}+6625
MainPC,emotion_system,VoiceProfilingAgent,potentially_consolidated,True,${PORT_OFFSET}+5708,${PORT_OFFSET}+6708
MainPC,emotion_system,EmpathyAgent,potentially_consolidated,True,${PORT_OFFSET}+5703,${PORT_OFFSET}+6703
MainPC,translation_services,CloudTranslationService,active,True,${PORT_OFFSET}+5592,${PORT_OFFSET}+6592
MainPC,translation_services,StreamingTranslationProxy,active,True,${PORT_OFFSET}+5596,${PORT_OFFSET}+6596
MainPC,translation_services,ObservabilityDashboardAPI,potentially_consolidated,False,${PORT_OFFSET}+8001,${PORT_OFFSET}+9007
MainPC,docker_groups,infra_core,active,True,n/a,n/a
PC2,pc2_services,CentralErrorBus,active,True,${PORT_OFFSET}+7150,${PORT_OFFSET}+8150
PC2,pc2_services,MemoryFusionHub,hub,True,${PORT_OFFSET}+5713,${PORT_OFFSET}+6713
PC2,pc2_services,RealTimeAudioPipelinePC2,hub,True,${PORT_OFFSET}+5557,${PORT_OFFSET}+6557
PC2,pc2_services,TieredResponder,active,True,${PORT_OFFSET}+7100,${PORT_OFFSET}+8100
PC2,pc2_services,AsyncProcessor,active,True,${PORT_OFFSET}+7101,${PORT_OFFSET}+8101
PC2,pc2_services,CacheManager,active,True,${PORT_OFFSET}+7102,${PORT_OFFSET}+8102
PC2,pc2_services,VisionProcessingAgent,active,True,${PORT_OFFSET}+7160,${PORT_OFFSET}+8160
PC2,pc2_services,DreamWorldAgent,active,True,${PORT_OFFSET}+7104,${PORT_OFFSET}+8104
PC2,pc2_services,ResourceManager,active,True,${PORT_OFFSET}+7113,${PORT_OFFSET}+8113
PC2,pc2_services,TaskScheduler,active,True,${PORT_OFFSET}+7115,${PORT_OFFSET}+8115
PC2,pc2_services,AuthenticationAgent,active,True,${PORT_OFFSET}+7116,${PORT_OFFSET}+8116
PC2,pc2_services,UnifiedUtilsAgent,active,True,${PORT_OFFSET}+7118,${PORT_OFFSET}+8118
PC2,pc2_services,ProactiveContextMonitor,active,True,${PORT_OFFSET}+7119,${PORT_OFFSET}+8119
PC2,pc2_services,AgentTrustScorer,active,True,${PORT_OFFSET}+7122,${PORT_OFFSET}+8122
PC2,pc2_services,FileSystemAssistantAgent,active,True,${PORT_OFFSET}+7123,${PORT_OFFSET}+8123
PC2,pc2_services,RemoteConnectorAgent,active,True,${PORT_OFFSET}+7124,${PORT_OFFSET}+8124
PC2,pc2_services,UnifiedWebAgent,active,True,${PORT_OFFSET}+7126,${PORT_OFFSET}+8126
PC2,pc2_services,DreamingModeAgent,active,True,${PORT_OFFSET}+7127,${PORT_OFFSET}+8127
PC2,pc2_services,AdvancedRouter,active,True,${PORT_OFFSET}+7129,${PORT_OFFSET}+8129
PC2,pc2_services,UnifiedObservabilityCenter,hub,True,${PORT_OFFSET}+9100,${PORT_OFFSET}+9110
PC2,pc2_services,TutoringServiceAgent,active,True,${PORT_OFFSET}+7108,${PORT_OFFSET}+8108
PC2,pc2_services,SelfHealingSupervisor,active,True,${PORT_OFFSET}+7009,${PORT_OFFSET}+9008
PC2,pc2_services,SpeechRelayService,potentially_consolidated,True,${PORT_OFFSET}+7130,${PORT_OFFSET}+8130
